DBMS_urnform,card_title,card_title_href,card_img_href,card_text,Description,Data Model,Query Interface,System Architecture,Website URL,Website,Source Code,Documentation,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Programming Language,Written in,Supported Languages,Supported languages,Embeds / Uses,Licenses,Operating Systems,Blog URL,Twitter,Wikipedia URL,Wikipedia,Coding Agent,Tags,Crawl Error,Compression,Storage Architecture,Storage Model,Checkpoints,Concurrency Control,Foreign Keys,Indexes,Isolation Levels,Joins,Logging,Query Compilation,Query Execution,Stored Procedures,Views,Derived From,Embedded,Storage Organization,Inspired By,Parallel Execution,Storage Format,Acquired By,Compatible With,Former Name,Governance,Hosted Systems,Data_Model_mapping,has_github_repo,github_repo_link,org_name,repo_name,open_source_license
vanilladb,VanillaDB,https://dbdb.io/db/vanilladb,https://dbdb.io/media/logos/vanilladb.svg,,"VanillaDB is a single node, multi-threaded relational database engine that partially supports the SQL-92 standard.",Multi-Value,"Custom API,SQL,Stored Procedures",Shared-Everything,http://www.vanilladb.org,http://www.vanilladb.org,https://github.com/vanilladb/vanillacore,,,National Tsing Hua University,TW,2016,2023,"Academic,Open Source",Java,Java,,,,Apache v2,All OS with Java VM,,,,,,,,,Disk-oriented,N-ary Storage Model (Row/Record),Non-Blocking,Two-Phase Locking (Deadlock Detection),Not Supported,"B+Tree,Hash Table","Read Committed,Serializable,Repeatable Read","Nested Loop Join,Index Nested Loop Join",Physiological Logging,Not Supported,"Tuple-at-a-Time Model,Materialized Model",Not Supported,Virtual Views,,,Sorted Files,,,,,,,,,Multivalue,Y,vanilladb/vanillacore,vanilladb,vanillacore,Y
vearch,Vearch,https://dbdb.io/db/vearch,https://dbdb.io/media/logos/vearch.svg,,Vearch is a distributed vector search engine.,"Document / XML,Vector",HTTP / REST,Shared-Nothing,https://vearch.github.io,https://vearch.github.io,https://github.com/vearch/vearch,https://vearch.readthedocs.io/en/latest/,https://vearch.readthedocs.io/en/latest/,JD.com,CN,2019,,Open Source,C++,C++,,,,Apache v2,Linux,,@ai_vearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,baudvs,,,"Document,Vector",Y,vearch/vearch,vearch,vearch,Y
vecdb,vecdb,https://dbdb.io/db/vecdb,,,"VecDB is a self-hosted vector database written in Rust that stores high-dimensional float32 vectors alongside JSON metadata. It supports hybrid semantic search by combining dense nearest-neighbor retrieval (HNSW/IVF) with sparse BM25 keyword search, fusing results using configurable weighting.","Document / XML,Vector","SQL,Command-line / Shell",,https://github.com/zaydmulani09/vecdb,https://github.com/zaydmulani09/vecdb,https://github.com/zaydmulani09/vecdb,,,Zayd Mulani,US,2026,,"Hobby,Open Source",Rust,Rust,,,,MIT License,Linux,,,,,,,,,,,,,,"Inverted Index (Full Text),Hierarchical Navigable Small World (HNSW)",,,,,,,,,,,,,Custom,,,,,,"Document,Vector",Y,zaydmulani09/vecdb,zaydmulani09,vecdb,Y
vectordb,VectorDB,https://dbdb.io/db/vectordb,https://dbdb.io/media/logos/vectordb.png.40x40_q85.png,,VectorDB is a simplistic vector DBMS for Python applications.,"Document / XML,Vector",HTTP / REST,"Shared-Everything,Embedded",https://github.com/jina-ai/vectordb,https://github.com/jina-ai/vectordb,https://github.com/jina-ai/vectordb,https://docs.jina.ai,https://docs.jina.ai,Jina AI GmbH,ES,2023,2024,"Commercial,Open Source",Python,Python,Python,Python,,Apache v2,Linux,,@JinaAI_,,,,,,,,,,,,Hierarchical Navigable Small World (HNSW),,,,,,,,,,,,,,,,any-vector-db,,,"Document,Vector",Y,jina-ai/vectordb,jina-ai,vectordb,Y
vectordb-kagi,VectorDB,https://dbdb.io/db/vectordb-kagi,https://dbdb.io/media/logos/vectordb2.svg,,VectorDB is an embedded vector DBMS written in Python.,"Document / XML,Vector",Custom API,Embedded,https://vectordb.com,https://vectordb.com,https://github.com/kagisearch/vectordb,,,Kagi Inc.,US,2023,2024,Open Source,Python,Python,Python,Python,,MIT License,,,,,,,,,,,,,,,Hierarchical Navigable Small World (HNSW),,,,,,,,,,,,,,,,,,,"Document,Vector",Y,kagisearch/vectordb,kagisearch,vectordb,Y
vectorsql,VectorSQL,https://dbdb.io/db/vectorsql,https://dbdb.io/media/logos/vectorsql.svg,,VectorSQL is an analytics DBMS designed for IoT data.,Relational,SQL,,https://github.com/vectorengine/vectorsql,https://github.com/vectorengine/vectorsql,https://github.com/vectorengine/vectorsql,https://github.com/vectorengine/vectorsql/wiki,https://github.com/vectorengine/vectorsql/wiki,Bohu Tang,CN,2020,2021,"Hobby,Open Source",Go,Go,,,,Apache v2,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClickHouse,,,,Relational,Y,vectorengine/vectorsql,vectorengine,vectorsql,Y
velarixdb,VelarixDB,https://dbdb.io/db/velarixdb,https://dbdb.io/media/logos/velarixdb.svg,,VelarixDB is an embedded key-value storage engine for Rust applications.,Key-Value,Custom API,Embedded,https://crates.io/crates/velarixdb,https://crates.io/crates/velarixdb,https://github.com/Gifted-s/velarixdb,,,Adewumi Sunkanmi,NG,2024,,"Hobby,Open Source",Rust,Rust,,,,MIT License,Linux,,,,,,,,,Disk-oriented,N-ary Storage Model (Row/Record),,,,,,,,Not Supported,,,,,,Log-structured,,,Custom,,,,,,Key-value,Y,Gifted-s/velarixdb,Gifted-s,velarixdb,Y
velox,Velox,https://dbdb.io/db/velox,https://dbdb.io/media/logos/velox.svg,,"Velox is a reusable vectorized database execution engine. It can be used to build compute engines focused on analytical workloads, including batch ( Spark,Presto ), interactive ( PyVelox ), stream, log processing, and AI/ML. Unlike a complete DBMS, Velox is not meant to be used directly by end-users. Rather, it is designed to be a general-purpose component to handle execution that database developers can use in their systems.",Relational,Custom API,Embedded,https://velox-lib.io,https://velox-lib.io,https://github.com/facebookincubator/velox,https://facebookincubator.github.io/velox/,https://facebookincubator.github.io/velox/,Meta Platforms Inc,US,2020,,"Industrial Research,Open Source",C++,C++,"C++,Python","C++,Python",,Apache v2,"Linux,macOS",https://velox-lib.io/blog/,@velox_lib,,,Claude,,,"Run-Length Encoding,Null Suppression,Prefix Compression","Velox itself does not manage disk storage. It is expected to be connected with a disaggregated storage system such as S3, HDFS and Tectonic .",Decomposition Storage Model (Columnar),Not Supported,Not Supported,Not Supported,Velox does not support index. But it supports expression pushdown to linked storage layer.,Not Supported,"Hash Join,Sort-Merge Join,Broadcast Join,Semi Join",Not Supported,Code Generation,Vectorized Model,Supported,Materialized Views,,,Velox has a cache system between execution and underlying disaggregated storage to increase cache hit rate. Cache can is in RAM when first use and can be spilled out to disk for later. Velox also supports column prefetching by tracking the access frequency of each column in a query.,,Bushy,Arrow,,,,,,Relational,Y,facebookincubator/velox,facebookincubator,velox,Y
veloxdb,VeloxDB,https://dbdb.io/db/veloxdb,https://dbdb.io/media/logos/veloxdb.svg,,VeloxDB is an in-memory object-oriented DBMS.,Object-Oriented,Custom API,Shared-Everything,https://www.vlxdb.com,https://www.vlxdb.com,https://github.com/VeloxDB/VeloxDB,https://vlxdb.com/guide/introduction.html,https://vlxdb.com/guide/introduction.html,VeloxDB,RS,2022,,"Commercial,Open Source",C#,C#,,,,MIT License,"Linux,Windows",,,,,,,,,In-Memory,N-ary Storage Model (Row/Record),,,,,,,,,,,,,,,,,,,,,,,Object oriented,Y,VeloxDB/VeloxDB,VeloxDB,VeloxDB,Y
venice,Venice,https://dbdb.io/db/venice,https://dbdb.io/media/logos/venicedb.svg,,Venice is a derived data storage platform that supports asynchronous ingestion from batch and streaming sources.,Document / XML,Custom API,Shared-Disk,https://venicedb.org,https://venicedb.org,https://github.com/linkedin/venice,https://venicedb.org/docs/dev_guide,https://venicedb.org/docs/dev_guide,LinkedIn Corporation,US,2014,,Open Source,Java,Java,,,"RocksDB,Zookeeper",BSD License,All OS with Java VM,https://blog.venicedb.org,@VeniceDataBase,,,Claude,,,,,,,,,,,,,,,,,,,,,,"Parquet,Avro",,,,,,Document,Y,linkedin/venice,linkedin,venice,Y
