Name,card_title,Description,Data Model,Query Interface,System Architecture,Website,Source Code,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Written in,Supported languages,Embeds / Uses,Licenses,Operating Systems,Data_Model_mapping,has_github_repo,github_repo_link,org_name,repo_name,open_source_license
alchemydb,AlchemyDB,"AlchemyDB is a NewSQL RDBMS built on top,Redis,.",Relational,SQL,Shared-Everything,https://code.google.com/p/alchemydatabase/,https://github.com/JakSprats/Alchemy-Database,https://code.google.com/archive/p/alchemydatabase/wikis,Russell Sullivan,US,2010,2012,"Commercial,Open Source",C,,,AGPL v3,,Relational,Y,JakSprats/Alchemy-Database,JakSprats,Alchemy-Database,Y
alenka,Alenka,Alenka is a GPU-based query execution engine.,Relational,SQL,,https://github.com/antonmks/Alenka,,,,US,2012,2017,Open Source,C,,,Apache v2,,Relational,Y,antonmks/Alenka,antonmks,Alenka,Y
amelie,Amelie,Amelie is an in-memory relational DBMS designed for OLTP workloads.,Relational,SQL,Shared-Everything,https://amelielabs.io/,https://github.com/amelielabs/amelie,https://amelielabs.io/docs/,Dmitry Simonenko,CY,2023,,"Hobby,Open Source",C,,,AGPL v3,Linux,Relational,Y,amelielabs/amelie,amelielabs,amelie,Y
angstromdb,AngstromDB,"AngstromDB is a NoSQL key-value DBMS based on,LMDB,.",Key/Value,,,https://github.com/Amaury/AngstromDB,https://github.com/Amaury/AngstromDB,,Amaury Bouchard,FR,2013,2013,"Hobby,Open Source",C,,,Apache v2,Linux,Key-value,Y,Amaury/AngstromDB,Amaury,AngstromDB,Y
annadb,AnnaDB,"AnnaDB is an in-memory document-oriented NoSQL DBMS that stores data in proprietary,Typed Simple Object Notation (TySON),format.",Document / XML,Custom API,Shared-Everything,https://annadb.dev,https://github.com/Anna-Team/AnnaDB,https://annadb.dev/documentation/introduction/,Roman Right,DE,2021,,"Hobby,Open Source",Rust,Python,,Apache v2,Linux,Document,Y,Anna-Team/AnnaDB,Anna-Team,AnnaDB,Y
anndb,AnnDB,AnnDB is a distributed vector DBMS that supports approximate nearest neighbor queries.,Vector,HTTP / REST,Shared-Nothing,https://anndb.com/,https://github.com/marekgalovic/anndb,https://docs.anndb.com/,Marek Galovic,CZ,2020,,"Commercial,Open Source",Go,,,Apache v2,,Vector,Y,marekgalovic/anndb,marekgalovic,anndb,Y
antdb,AntDB,AntDB is a distributed DBMS forked from PostgreSQL.,Object-Relational,SQL,,https://www.asiainfo.com/en_us/product_aisware_antDB.html,https://github.com/ADBSQL/AntDB,https://adbsql.github.io/docs/,AsiaInfo,CN,,,"Commercial,Open Source",C,,,Apache v2,,"Object oriented,Relational",Y,ADBSQL/AntDB,ADBSQL,AntDB,Y
antidote,Antidote,AntidoteDB is a geo-replicated key-value DBMS that uses CRDTs to synchronize changes between nodes.,Key/Value,SQL,,https://www.antidotedb.eu/,https://github.com/AntidoteDB/antidote,https://antidotedb.gitbook.io/documentation/,SyncFree European Project,FR,2015,,"Academic,Open Source",Erlang,,,Apache v2,,Key-value,Y,AntidoteDB/antidote,AntidoteDB,antidote,Y
aodbm,AODBM,"AODBM (""append only database manager"") is designed in the style of dbm.",,,,https://github.com/DanielWaterworth/AODBM,https://github.com/DanielWaterworth/AODBM,,Daniel Waterworth,GB,2011,2011,Open Source,C,,,LGPL v3,,,Y,DanielWaterworth/AODBM,DanielWaterworth,AODBM,Y
arakoon,Arakoon,Arakoon was a distributed key-value store with strong consistency guarantees.,Key/Value,Custom API,Shared-Nothing,http://arakoon.org/,https://github.com/Incubaid/arakoon,http://arakoon.org/documentation/index.html,Incubaid,BE,2010,2015,Open Source,Ocaml,,Tokyo Cabinet,Apache v2,,Key-value,Y,Incubaid/arakoon,Incubaid,arakoon,Y
arangodb,ArangoDB,"ArangoDB is a multi-model mostly-memory database. It supports key-value, documents, and graphs stores with JSON data format. ArangoDB stores all data in persistent storage to provide durability. However, to efficiently use ArangoDB, the frequently accessed pages, or equivalently called the working set, should be able to fit into the main memory. At the same time, unlike most NoSQL databases, ArangoDB supports join operation and allows users to specify either multi-collections transactions for ACID properties or standard single-document transactions for performance boosting.","Key/Value,Document / XML,Graph","Custom API,HTTP / REST,Command-line / Shell",Shared-Nothing,https://www.arangodb.com,https://github.com/arangodb/arangodb,https://www.arangodb.com/documentation/,ArangoDB GmbH,DE,2011,,"Commercial,Open Source",C++,"C#,Java,JavaScript,PHP,Python,Ruby",,Apache v2,"Linux,OS X,Solaris,Windows","Key-value,Document,Graph",Y,arangodb/arangodb,arangodb,arangodb,Y
arcadedb,ArcadeDB,ArcadeDB is a multi-model DBMS created as a fork from OrientDB.,"Relational,Key/Value,Document / XML,Graph","SQL,Cypher,HTTP / REST","Shared-Everything,Embedded",https://arcadedb.com/,https://github.com/ArcadeData/arcadedb,https://docs.arcadedb.com/,Arcade Data Ltd,GB,2021,,"Commercial,Open Source",Java,,,Apache v2,All OS with Java VM,"Relational,Key-value,Document,Graph",Y,ArcadeData/arcadedb,ArcadeData,arcadedb,Y
arcticdb,ArcticDB,"ArcticDB is an embedded, columnar datastore designed for analytical workloads on time-series data. It supports Pandas and the Python Data Science ecosystem.",Relational,Custom API,Embedded,https://arcticdb.io/,https://github.com/man-group/ArcticDB,https://docs.arcticdb.io/,Man Group,GB,2018,,Open Source,C++,Python,,Business Source License,,Relational,Y,man-group/ArcticDB,man-group,ArcticDB,Y
ardb,Ardb,Ardb is a Redis-compatible NoSQL DBMS that is designed to support multiple storage backends.,Key/Value,Custom API,,https://github.com/yinqiwen/ardb,https://github.com/yinqiwen/ardb,,Yinqi Wen,CN,2013,,Open Source,C++,,"ForestDB,LevelDB,LMDB,RocksDB,WiredTiger",BSD,,Key-value,Y,yinqiwen/ardb,yinqiwen,ardb,Y
aresdb,AresDB,"AresDB is a GPU-based real-time analytics database with low memory overhead, real-time upserts with primary key deduplication, and time series aggregations on both streaming and finite dimensional data, including geofences.",Relational,Custom API,Shared-Disk,https://eng.uber.com/aresdb/,https://github.com/uber/aresdb,https://github.com/uber/aresdb/wiki,Uber,US,2018,2020,Open Source,"C,C++,Go",,,Apache v2,Linux,Relational,Y,uber/aresdb,uber,aresdb,Y
asami,Asami,Asami is a graph-oriented DBMS written in Clojure.,Graph,Custom API,Shared-Everything,https://github.com/quoll/asami,https://github.com/quoll/asami,https://github.com/quoll/asami/wiki,"Cisco, Paula Gearon",US,2018,,"Hobby,Open Source",Clojure,,,Eclipse Public License,All OS with Java VM,Graph,Y,quoll/asami,quoll,asami,Y
assassin,Assassin,"Assassin is a decentralized key-value DBMS written in JavaScript. It uses a peer-to-peer protocol to replicate data across multiple machines. It stores its meta-data catalog on top of the,Hyperdrive,distributed filesystem.",Key/Value,Custom API,Shared-Nothing,https://assassin-demo.surge.sh/,https://github.com/genderev/assassin,,Ender Minyard,US,2020,,Open Source,JavaScript,JavaScript,,MIT,,Key-value,Y,genderev/assassin,genderev,assassin,Y
asterixdb,AsterixDB,"AsterixDB is a DBMS that is highly parallel and, consequently, highly scalable. It has its own semi-structured data model similar to JSON/XML, as well as a custom query interface (SQL++) that incorporates much of SQL’s original functionality as well as new features. It partitions its data based on hashing and has a custom query execution engine, Apache Hyracks, to ensure that query plans take advantage of this partitioning and parallelize as much as possible.",Document / XML,Custom API,Shared-Nothing,https://asterixdb.apache.org/,https://github.com/apache/asterixdb,https://ci.apache.org/projects/asterixdb/index.html,University of California-Irvine and University of California-Riverside,US,2009,,"Academic,Open Source",Java,,,Apache v2,All OS with Java VM,Document,Y,apache/asterixdb,apache,asterixdb,Y
atlas,Atlas,Atlas is a dimensional time series data database management system for near real-time operational analytics.,,Custom API,,https://github.com/Netflix/atlas,https://github.com/Netflix/atlas,https://github.com/Netflix/atlas/wiki,Netflix,US,2014,,Open Source,Scala,,,,,,Y,Netflix/atlas,Netflix,atlas,Y
averagedb,AverageDB,AverageDB (AvgDB) is a serverless document-oriented DBMS. It is a parody DBMS that does not actually store data.,Document / XML,HTTP / REST,,https://averagedatabase.com/,https://github.com/joswayski/averagedatabase,https://averagedatabase.com/docs,Average Labs LLC,US,2024,,"Hobby,Open Source",TypeScript,,,Apache v2,Hosted,Document,Y,joswayski/averagedatabase,joswayski,averagedatabase,Y
aviondb,AvionDB,"AvionDB is decentralized document DBMS built on top of,IPFS,. It uses,OrbitDB,for its database storage at each node.",Document / XML,Custom API,Shared-Nothing,https://github.com/dappkit/aviondb,https://github.com/dappkit/aviondb,https://github.com/dappkit/aviondb-specs,DappKit,"IN,US",2020,2020,"Commercial,Open Source",JavaScript,,OrbitDB,MIT,,Document,Y,dappkit/aviondb,dappkit,aviondb,Y
awadb,AwaDB,AwaDB is a vector DBMS written in C++ that supports nearest-neighbor search.,"Document / XML,Vector",Custom API,,https://github.com/awa-ai/awadb,https://github.com/awa-ai/awadb,https://github.com/awa-ai/awadb/tree/main/docs,,CN,2023,,Open Source,C++,Python,,Apache v2,,"Document,Vector",Y,awa-ai/awadb,awa-ai,awadb,Y
axion,Axion,Axion is a relational database system supporting SQL and JDBC written in and for the Java programming language.,Relational,SQL,Embedded,http://axion.tigris.org/,http://axion.tigris.org/source/browse/axion/,http://axion.tigris.org/using.html,,US,2002,2007,Open Source,Java,Java,,,,Relational,,,,,Y
babudb,BabuDB,BabuDB is an embedded key-value DBMS based on log-structured merge trees. There are two implementations of the core system (one in Java and one in C++).,Key/Value,Custom API,Embedded,https://www.zib.de/research/projects/babudb-embedded-key-value-store,https://github.com/xtreemfs/babudb,,Zuse Institute Berlin,DE,2008,2022,"Academic,Open Source","C++,Java","C++,Java",,,,Key-value,Y,xtreemfs/babudb,xtreemfs,babudb,Y
badgerdb,BadgerDB,"Badger started as a key-value store, so the goal was to use the latest research to build a key-value store. It uses a log-structured merge (LSM) tree based implementation, which has an advantage in throughput when compared to B+ tree since background (disk) writes in LSM maintain a sequential access pattern.",Key/Value,Custom API,Embedded,https://github.com/dgraph-io/badger,,https://godoc.org/github.com/dgraph-io/badger,Dgraph,US,2017,,Open Source,Go,,,Apache v2,"iOS,Linux,Windows",Key-value,Y,dgraph-io/badger,dgraph-io,badger,Y
bagri,Bagri,"Bagri is a document-oriented DBMS designed to run on top of a distributed cache (e.g., Hazelcast, Coherence).",Document / XML,,,http://bagridb.com,https://github.com/dsukhoroslov/bagri,,,RU,2014,2019,Open Source,Java,,,Apache v2,All OS with Java VM,Document,Y,dsukhoroslov/bagri,dsukhoroslov,bagri,Y
baikaldb,BaikalDB,BaikalDB is a distributed OLTP database system created by Baidu.,Relational,SQL,Shared-Nothing,http://baikaldb.com/,https://github.com/baidu/BaikalDB,https://github.com/baidu/BaikalDB/tree/master/docs,Baidu,CN,2018,,Open Source,C++,,RocksDB,Apache v2,,Relational,Y,baidu/BaikalDB,baidu,BaikalDB,Y
bangdb,BangDB,"BangDB is a NoSQL DBMS designed for real-time data processing. The DBMS supports structured, semi-structured, and unstructured data, and includes support for multi-model data management with capabilities for key-value, document, and graph storage.",Key/Value,Custom API,"Shared-Everything,Embedded",https://bangdb.com/,https://github.com/sachin-sinha/BangDB,https://docs.bangdb.com/,IQLECT,IN,2015,,"Commercial,Open Source",C,,,BSD,"Hosted,Linux",Key-value,Y,sachin-sinha/BangDB,sachin-sinha,BangDB,Y
basex,BaseX,BaseX is a light-weight XML database management system and XQuery processor.,Document / XML,XQuery,,http://basex.org/,https://github.com/BaseXdb/basex,http://docs.basex.org/wiki/Main_Page,,DE,2007,,"Academic,Open Source",Java,,,BSD,,Document,Y,BaseXdb/basex,BaseXdb,basex,Y
bayesdb,BayesDB,BayesDB is a probabilistic programming platform that provides built-in non-parametric Bayesian model discovery.,,,,http://probcomp.csail.mit.edu/software/bayesdb/,https://github.com/probcomp/bayeslite,,Massachusetts Institute of Technology,US,2015,,"Academic,Open Source",Python,,,Apache v2,,,Y,probcomp/bayeslite,probcomp,bayeslite,Y
bbolt,bbolt,"bbolt is a fork of the abandoned,BoltDB,project. The authors are maintaining the system with performance enhancements and additional features not found in the original BoltDB system.",Key/Value,,,https://go.etcd.io/bbolt,https://github.com/etcd-io/bbolt,,CoreOS,US,2017,,Open Source,Go,,,MIT,,Key-value,Y,etcd-io/bbolt,etcd-io,bbolt,Y
bboxdb,BBoxDB,BBoxDB is a distributed DBMS that supports bounding box queries on multi-dimensional data.,Array / Matrix,"Custom API,Command-line / Shell",Shared-Nothing,https://bboxdb.org/,https://github.com/jnidzwetzki/bboxdb,https://jnidzwetzki.github.io/bboxdb/,Jan Nidzwetzki,DE,2015,,Open Source,Java,,Zookeeper,Apache v2,All OS with Java VM,Array,Y,jnidzwetzki/bboxdb,jnidzwetzki,bboxdb,Y
beagle-sql,Beagle SQL,Beagle SQL was an object-relational DBMS from the 1990s.,"Relational,Object-Relational",SQL,Shared-Everything,http://www.beaglesql.org/,https://github.com/jonahharris/osdb-beaglesql,http://www.beaglesql.org/docs/,"Robert Klein, Jean-Claude Magras",US,1996,1999,Open Source,C++,SQL,,,,"Relational,Object oriented",Y,jonahharris/osdb-beaglesql,jonahharris,osdb-beaglesql,Y
bedrock,Bedrock,Bedrock is a distributed relational DBMS built on top of SQLite. It is a distributed relational database management system designed for geo-replication. It was initially made for (and is owned by) Expensify. Its storage is based on a distributed ledger.,Relational,"SQL,Command-line / Shell","Shared-Disk,Embedded",https://bedrockdb.com/,https://github.com/Expensify/Bedrock,https://github.com/Expensify/Bedrock/tree/master/docs,Expensify,US,2016,,Open Source,C++,C++,SQLite,LGPL v3,"Linux,OS X",Relational,Y,Expensify/Bedrock,Expensify,Bedrock,Y
bergdb,BergDB,"BergDB is an embedded, document-oriented, schemaless, NoSQL DBMS for Java and .NET applications.",Document / XML,,Embedded,http://bergdb.com/,http://bergdb.com/releases.html,,Frans Lundberg,SE,2013,,Open Source,Java,,,AGPL v3,,Document,,,,,Y
beringei,Beringei,"Beringei is an embedded in-memory storage engine for time series data developed by Facebook. It was developed by Facebook to handle the growing scale of their system health monitoring data, as they needed a faster solution to storing constant stream of time series data, as well as a fast way to query this data.",Key/Value,Custom API,Shared-Nothing,https://code.fb.com/core-data/beringei-a-high-performance-time-series-storage-engine/,https://github.com/facebookarchive/beringei,http://www.vldb.org/pvldb/vol8/p1816-teller.pdf,Facebook,US,2015,2017,Open Source,C++,C++,,BSD,Linux,Key-value,Y,facebookarchive/beringei,facebookarchive,beringei,Y
berkeley-db,Berkeley DB,"BerkeleyDB (sometimes referred to as simply ""BDB"") is an embedded open-source, database storage library. The simplicity arises from the fact that it is a basic key-value store and not a full-fledged database system that provides querying and schema constraints. It offers flexibility by being schema-less and by providing convenient mechanisms to include and discard features. BerkeleyDB provides complete ACID compliance through its five subsystems, namely, caching, datastore, locking, logging and recovery. All these five subsystems are implemented using concepts like two-phase locking, undo/redo write-ahead logging, etc. This enables it to offer high performance for a variety of workloads and handle very large-sized key-vale stores (order of Terabytes). Due to these properties, many applications like filesystems, LDAP servers and database systems (like MySQL) use BerkeleyDB for their backend storage requirements.","Key/Value,Document / XML","Custom API,SQL,PL/SQL",Embedded,http://www.oracle.com/technetwork/database/database-technologies/berkeleydb/overview/index.html,https://github.com/berkeleydb/libdb,,Sleepycat Software,US,1994,,"Commercial,Open Source",,"C++,Clojure,D,Delphi,Eiffel,Erlang,Go,Haskell,Java,JavaScript,Lisp,Lua,Matlab,Ocaml,Perl,PHP,PL/SQL,Prolog,Python,R,Rebol,Ruby,Scala,Smalltalk,Tcl,Visual Basic",,"AGPL v3,Apache v2","AIX,Android,BSD,DOS,HP-UX,iOS,Linux,OS X,Solaris,VxWorks,Windows,z/OS","Key-value,Document",Y,berkeleydb/libdb,berkeleydb,libdb,Y
beryldb,BerylDB,"BerylDB is a key-value DBMS that supports storing lists, sets, and maps. It uses RocksDB as its underlying storage manager.",Key/Value,Custom API,,https://beryl.dev,https://github.com/beryldb/beryldb,https://docs.beryl.dev/,Beryl Labs,CL,2021,,"Hobby,Open Source",C++,"JavaScript,PHP,Python",RocksDB,BSD,"Linux,OS X",Key-value,Y,beryldb/beryldb,beryldb,beryldb,Y
bigchaindb,BigchainDB,"BigchainDB is an open-source blockchain database. It is a NoSQL database that has blockchain properties such as immutability, decentralization and owner-controlled asset. Immutability is the property that once the data is stored in BigchainDB, it can’t be modified or erased. Decentralization means there is no single point of failure in the control and storage process of the data. The owner-controlled asset is the property that only the owner of the asset can transfer the asset. The database provides the user with Byzantine Fault Tolerance (BFT) with no more than one-third arbitrary node failures. There are two main layers in BigchainDB, the consensus layer based on Tendermint the and storage layer based on MongoDB.","Key/Value,Document / XML",HTTP / REST,Shared-Nothing,https://www.bigchaindb.com/,https://github.com/bigchaindb/bigchaindb,https://docs.bigchaindb.com/en/latest/,BigchainDB GmbH,DE,2015,2022,"Commercial,Open Source",Python,"JavaScript,Python",MongoDB,Apache v2,,"Key-value,Document",Y,bigchaindb/bigchaindb,bigchaindb,bigchaindb,Y
binaryrage,BinaryRage,BinaryRage is an embedded key-value store DBMS written for .NET environments.,Key/Value,Custom API,Embedded,https://github.com/mchidk/BinaryRage,https://github.com/mchidk/BinaryRage,,Michael Christensen,DK,2012,2016,"Hobby,Open Source",C#,C#,,,Windows,Key-value,Y,mchidk/BinaryRage,mchidk,BinaryRage,Y
bitcask,Bitcask,"Bitcask is an embedded key-value DBMS that uses a log-structured storage format. The system includes a built-in,Redis,compatible server interface.",Key/Value,Custom API,Embedded,https://prologic.github.io/bitcask/,https://github.com/prologic/bitcask,https://pkg.go.dev/github.com/prologic/bitcask,James Mills,AU,2019,,Open Source,Go,Go,,MIT,"Linux,OS X,Windows",Key-value,Y,prologic/bitcask,prologic,bitcask,Y
bitsy,Bitsy,"Bitsy is a embeddable in-memory graph database that is compatible with Tinkerpop3. It is based on these design principles: ""No seek"" (avoid disk seeks to maximize write throughput), ""No socket"" (embed within the application to reduce network/OS delays) and ""No SQL"" (leverage graph traversals for faster queries).",Graph,Gremlin,Embedded,http://www.lambdazen.com/,https://github.com/lambdazen/bitsy,https://github.com/lambdazen/bitsy/wiki,LambdaZen LLC,US,2013,,Open Source,Java,,,Apache v2,,Graph,Y,lambdazen/bitsy,lambdazen,bitsy,Y
blackray,BlackRay,BlackRay was a relational DBMS designed to offer performance features commonly associated with search engines.,Relational,SQL,Shared-Everything,http://www.blackray.org/,http://sourceforge.net/projects/blackray/,,"SoftMethod, Deutsche Telekom",DE,2005,2013,"Commercial,Open Source",C++,,,GPL v2,,Relational,,,,,Y
blazegraph,Blazegraph,"Blazegraph is an open-source graph database system written in Java. Blazegraph is supported for use on a standalone server, as well as a highly available (HA) replication cluster. ACID properties are fully supported in both use cases. Blazegraph makes use of multi-version concurrency control (MVCC). As a graph database, Blazegraph is optimal for storing and querying linked data. Blazegraph uses RDF and RDR as the standards for the data model.","Graph,Triplestore / RDF",SPARQL,Shared-Nothing,https://www.blazegraph.com/,https://github.com/blazegraph/database,,"SYSTAP, LLC.",US,2006,2022,"Commercial,Open Source",Java,"C,C++,Java,JavaScript,PHP,Python,Ruby",,GPL v2,"Linux,OS X,Windows","Graph,RDF",Y,blazegraph/database,blazegraph,database,Y
blazingsql,BlazingSQL,"BlazingSQL is a distributed GPU-accelerated SQL engine with data lake integration, where data lakes are huge quantities of raw data that are stored in a flat architecture. It is ACID-compliant. BlazingSQL targets ETL workloads and aims to perform efficient read IO and OLAP querying. BlazingDB refers to the company and BlazingSQL refers to the product. It is currently under active development with offices in San Franscisco and Peru.",Relational,SQL,Shared-Nothing,https://blazingsql.com/,https://github.com/blazingdb/pyBlazing/,https://docs.blazingdb.com/,BlazingDB,PE,2015,2021,"Commercial,Open Source",C++,SQL,,"Apache v2,Proprietary",Linux,Relational,Y,blazingdb/pyBlazing,blazingdb,pyBlazing,Y
blinkdb,BlinkDB,"BlinkDB is an approximate query engine built on top of Hive and Shark (""Hive on Spark"", the former Spark SQL). It allows users to trade-off query accuracy for response time, thus enabling interactive queries on big data. BlinkDB builds a couple of stratified samples on the original data and executes the queries on the samples instead of the original data to reduce query execution time. The number and sizes of the stratified samples are limited by the storage budget specified when importing the data. It has two major parts: one is the sample building engine that selects what stratified samples to build by considering historic workloads and the distribution of the data; the other part is a dynamic sample selection module that chooses appropriate sample files at runtime according to specific time/accuracy requirements specified by the query. BlinkDB has a public open source repository on Github. The latest version number is alpha-0.2.0. However, its features are quite limited. For example, instead of automatically creating samples for a dataset, this version supports manual sample creation with explicitly specified sample ratio only.",Relational,SQL,Shared-Disk,http://blinkdb.org/,https://github.com/sameeragarwal/blinkdb,,"University of California-Berkeley, Massachusetts Institute of Technology",US,2012,2014,"Academic,Open Source",,,,Apache v2,All OS with Java VM,Relational,Y,sameeragarwal/blinkdb,sameeragarwal,blinkdb,Y
blueflood,Blueflood,,,,,http://blueflood.io/,https://github.com/rackerlabs/blueflood,,Rackspace,US,2013,,Open Source,Java,,,Apache v2,All OS with Java VM,,Y,rackerlabs/blueflood,rackerlabs,blueflood,Y
