Name,card_title,Description,Data Model,Query Interface,System Architecture,Website,Source Code,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Written in,Supported languages,Embeds / Uses,Licenses,Operating Systems,Twitter,Compression,Storage Architecture,Storage Model,Checkpoints,Concurrency Control,Foreign Keys,Indexes,Isolation Levels,Joins,Logging,Query Compilation,Query Execution,Stored Procedures,Views,Derived From,Wikipedia,Storage Organization,Inspired By,Parallel Execution,Storage Format,Acquired By,Compatible With,Former Name
mariposa,Mariposa,Mariposa was an experimental distributed database management system developed by Mike Stonebraker at the University of Calfornia-Berkeley.,Relational,,,http://mariposa.cs.berkeley.edu/,http://mariposa.cs.berkeley.edu/download.html,,University of Calfornia-Berkeley,US,1994.0,,"Academic,Open Source",,,,BSD,,,,,,,,,,,,,,,,,PostgreSQL,,,,,,,,
matrixone,MatrixOne,MatrixOne is an HTAP DBMS written in Go.,Relational,SQL,,https://www.matrixorigin.io/,https://github.com/matrixorigin/matrixone,https://docs.matrixorigin.io/,MatrixOrigin,CN,2021.0,,"Commercial,Open Source",Go,,,Apache v2,,,,,"Decomposition Storage Model (Columnar),N-ary Storage Model (Row/Record)",,,,,,,,JIT Compilation,,,,,,,,,,,,
mcdb,mcdb,"mcdb (""mmap constant database"") is based on the cdb library for creating and reading constant (i.e., immutable) databases.",Key/Value,,,https://github.com/gstrauss/mcdb,https://github.com/gstrauss/mcdb,,Glenn Strauss,US,2010.0,,Open Source,C,,,LGPL v2,,,,,,,,,Hash Table,,,,,,,,cdb,,,,,,,,
mckoi-sql-database,Mckoi SQL Database,Mckoi SQL Database is a relational DBMS written in Java.,Relational,SQL,,http://mckoi.com/originalmckoisql/index.html,https://github.com/Mckoi/origsqldb,http://mckoi.com/database/FAQ.html,"Diehl and Associates, Inc.",US,1998.0,,"Commercial,Open Source",Java,,,GPL v2,All OS with Java VM,,,,,,,,,,,,,,,,,,,,,,,,
meilisearch,Meilisearch,Meilisearch is a document-oriented search engine.,Document / XML,"Custom API,HTTP / REST",,https://www.meilisearch.com/,https://github.com/meilisearch/meilisearch,https://docs.meilisearch.com/,Meilisearch,FR,2018.0,,"Commercial,Open Source",Rust,,,MIT,"Hosted,Linux,OS X",@meilisearch,,,,,,,,,,,,,,,,,,,,,,,
memcached,Memcached,"Memcached (pronunciation: mem-cash-dee) is a distributed in-memory key-value storage system, usually used for caching objects in memory to speed up database applications. Typically, users wrap database queries with Memcached get/set operations to cache recently-used objects.",Key/Value,Custom API,,https://memcached.org/,https://github.com/memcached/memcached,https://github.com/memcached/memcached/wiki,Danga Interactive,US,2003.0,,"Commercial,Open Source",C,"C++,Perl",,BSD,"AIX,BSD,Linux,OS X,Solaris,Windows",@memcached,,In-Memory,Custom,,Not Supported,,Hash Table,,Not Supported,Not Supported,Not Supported,,Not Supported,Not Supported,,https://en.wikipedia.org/wiki/Memcached,,,,,,,
memgraph,Memgraph,"Memgraph is a native fully distributed in-memory graph database built to handle real-time use-cases. It features full ACID-compliant transactions and strong consistency, and uses the RAFT algorithm for replication. It supports the standardized openCypher query language. Various graph algorithms are also shipped with the database, such as breadth first search and weighted shortest path. Memgraph is available on-premises or in-cloud, and is offered in a single node or distributed version.",Graph,Cypher,,https://memgraph.com,https://github.com/memgraph/memgraph,https://docs.memgraph.com,Dominik Tomicevic and Marko Budiselic,GB,2016.0,,"Commercial,Open Source","C,C++","C,C#,C++,Elixir,Go,Haskell,Java,JavaScript,PHP,Python,Ruby,Scala",,Business Source License,Linux,@memgraphdb,,"In-Memory,Hybrid",Custom,Consistent,Multi-version Concurrency Control (MVCC),Not Supported,Skip List,Snapshot Isolation,,Physiological Logging,Not Supported,,Not Supported,Not Supported,,,,,,,,Neo4j,
memstate,Memstate,Memstate is a transactional in-memory object-oriented DBMS. It uses PostgreSQL or EventStore as its back-end storage layer.,Object-Oriented,Custom API,,https://memstate.io,https://github.com/devrexlabs/memstate,https://memstate.io/docs/,Devrex Labs,SE,2017.0,,"Commercial,Open Source",C#,C#,,"GPL v3,LGPL v3",,,,In-Memory,N-ary Storage Model (Row/Record),,,,,,,,,,,,,,,,,,,,
mentat,Mentat,"Project Mentat is a persistent, embedded knowledge base written in Rust.",Relational,,,https://mozilla.github.io/mentat/,https://github.com/mozilla/mentat,https://github.com/mozilla/mentat/wiki,Mozilla,US,2016.0,,Open Source,Rust,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,,,
metalbase,MetalBase,"MetalBase is a small relational database management system. It has all the pieces that a relational database should have from the early 1990s: C interface, curses interface, and a report writer.",Relational,,,,https://github.com/apavlo/metalbase,,Richard P Jernigan IV,US,,,Open Source,C,C,,,Linux,,,,,,,,AVL-Tree,,,,,,,,,,,,,,,,
milvus,Milvus,Milvus is a vector DBMS design to to store vectors generated by machine learning models and neural networks.,Array / Matrix / Vector,Custom API,,https://milvus.io/,https://github.com/milvus-io/milvus,https://milvus.io/docs/,The Milvus Project,CN,2019.0,,Open Source,Go,Python,,Apache v2,,@milvusio,,,,,,,,,,,,,,,,,,,,,,,
mldb,MLDB,MLDB is an open-source database designed for machine learning.,,"SQL,HTTP / REST",,https://mldb.ai/,https://github.com/mldbai/mldb,https://docs.mldb.ai/doc/#builtin/Overview.md.html,MLDB.ai,CA,2015.0,,"Commercial,Open Source",C++,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,,,
mnesia,Mnesia,Mnesia is a distributed relational DBMS written in the Erlang.,Relational,Custom API,,http://www.erlang.org/doc/man/mnesia.html,https://github.com/erlang-labs/mnesia,http://erlang.org/doc/apps/mnesia/,Ericsson,FI,,,Open Source,Erlang,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Mnesia,,,,,,,
modeshape,ModeShape,"ModeShape is a hierarchical, transactional, and consistent data store with support for queries, full-text search, events, versioning, references, and dynamic schemas.",Object-Oriented,"Custom API,SQL,HTTP / REST",,http://modeshape.jboss.org/,https://github.com/ModeShape/modeshape,https://docs.jboss.org/author/display/MODE50/,Red Hat,US,2008.0,,"Commercial,Open Source",Java,Java,,Apache v2,All OS with Java VM,@modeshape,,,,,,,,,,,,,,,,,,,,,,,
