Name,card_title,Description,Data Model,Query Interface,System Architecture,Website,Source Code,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Written in,Supported languages,Embeds / Uses,Licenses,Operating Systems,Concurrency Control,Foreign Keys,Indexes,Isolation Levels,Joins,Logging,Query Compilation,Query Execution,Storage Architecture,Storage Model,Storage Organization,Stored Procedures,Views,Twitter,Inspired By,Compatible With,Wikipedia,Checkpoints,Compression,Former Name,Derived From,Storage Format
tieredmemdb,TieredMemDB,TieredMemDB is a fork of Redis from Intel that is designed to store data in persistent memory.,,Command-line / Shell,Shared-Everything,https://tieredmemdb.github.io/,https://github.com/TieredMemDB/TieredMemDB,,,PL,2020.0,,"Industrial Research,Open Source",,,,,,,,,,,,,,,,,,,,,Redis,,,,,,
tigerbeetle,TigerBeetle,TigerBeetle is a financial accounting DBMS written in Zig. It is not a general purpose DBMS and thus it only support a specific database schema designed for financial transactions.,Relational,Custom API,,https://www.tigerbeetle.com/,https://github.com/coilhq/tigerbeetle,,,ZA,2020.0,,Open Source,Zig,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
tikv,TiKV,"TiKV is an open source distributed Key-Value database which is based on the design of Google Spanner and HBase, but it is much simpler without dependency on any distributed file system. It's has primary features including Geo-Replication, Horizontal scalability, Consistent distributed transactions, Coprocessor support.",Key/Value,Custom API,Shared-Nothing,https://tikv.org,https://github.com/tikv/tikv,,,CN,2016.0,,Open Source,Rust,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
tile38,Tile38,Tile38 is an in-memory geolocation data store.,,"Custom API,HTTP / REST",Shared-Everything,http://tile38.com/,https://github.com/tidwall/tile38,,,US,2016.0,,Open Source,Go,,,MIT,,,,,,,,,,,,,,,,,,,,,,,
tiledb,TileDB,"TileDB is a storage engine designed to support the storage and access of both dense and sparse multi-dimensional arrays. The key idea of TileDB is that it stores array elements into collections called fragments, which can be either dense or sparse. Each of these fragments stores data in data tiles. In the case of dense fragments, the capacity of data tiles is limited by a fixed chunk size. In the case of sparse fragments, the capacity of data tiles is limited by a fixed element size. TileDB also supports parallel I/O and is completely multi-threaded. TileDB is designed to store many different types of data, such as genomic data, machine learning model parameters, imaging data, and LiDaR data.",Array / Matrix,"Custom API,SQL",Embedded,https://tiledb.com/,https://github.com/TileDB-Inc/TileDB,,,US,2014.0,,"Commercial,Open Source",C++,,,MIT,,,,,,,,,,,,,,,,,"MariaDB,PrestoDB",,,,,,
timbala,Timbala,Timbala was an experimental time-series database written in Go.,Relational,"HTTP / REST,PromQL",,https://github.com/mattbostock/timbala,https://github.com/mattbostock/timbala,,,GB,2016.0,,"Hobby,Open Source",Go,,,Apache v2,,,,,,,,,,,,,,,,,Prometheus,,,,,,
timber,TIMBER,"TIMBER ("",T,ree-structured native XML database,I,mplemented at the University of,M,ichigan by,B,right,E,nergetic,R,esearchers"") is a academic XML DBMS prototype.",Document / XML,XQuery,,http://dbgroup.eecs.umich.edu/timber/,http://dbgroup-internal.eecs.umich.edu/timber/download.php,,,US,,,"Academic,Open Source",,,,,,,,,,,,,,,,,,,,,,,,,,,
tingodb,TingoDB,TingoDB is an embedded Node.js database written in JavaScript and is designed to be API compatible with MongoDB.,Document / XML,Custom API,Embedded,http://www.tingodb.com/,https://github.com/sergeyksv/tingodb,,,RU,2013.0,,Open Source,JavaScript,,,MIT,,,,,,,,,,,,,,,,,MongoDB,,,,,,
tinybase,TinyBase,TinyBase is an embedded relational DBMS for TypeScript applications.,Relational,Custom API,Embedded,https://tinybase.org,https://github.com/tinyplex/tinybase,,,US,2021.0,,Open Source,TypeScript,,,MIT,,,,,,,,,,,,,,,,,,,,,,,
tinydb,TinyDB,TinyDB is a document-oriented database management system written in Python with no external dependencies.,Document / XML,Custom API,Embedded,https://tinydb.readthedocs.org/,https://github.com/msiemens/tinydb,,,DE,2013.0,,Open Source,Python,,,MIT,,,,,,,,,,,,,,,,,,,,,,,
tinydb-berkeley,TinyDB (Berkeley),TinyDB was a SQL-based query processing system over decentralized remote sensors. It was designed to work on TinyOS.,Relational,SQL,Shared-Nothing,http://telegraph.cs.berkeley.edu/tinydb/,,,,US,1999.0,,"Academic,Open Source",C,,,,,,,,,,,,,,,,,,,,,,,,,,
tinysql,tinySQL,,,,,http://priede.bf.lu.lv/ftp/pub/DatuBazes/tinySQL/tinySQL.htm,https://sourceforge.net/projects/tinysql/,,,US,2003.0,,Open Source,Java,,,,,,,,,,,,,,,,,,,,,,,,,,
titan-nosql,Titan,Titan is a distributed NoSQL DBMS that is designed to be compatible with the Redis protocol.,,,,https://github.com/meitu/titan,https://github.com/meitu/titan,,"Meitu, Inc.",CN,2018.0,,"Hobby,Open Source",Go,,,,,,,,,,,,,,,,,,,,,,,,,,
titan,Titan,Titan is a graph database engine.,,,,http://titandb.io/,https://github.com/thinkaurelius/titan,,Aurelius,,2012.0,2015.0,Open Source,Java,,,,,,,,,,,,,,,,,,,,,,,,,,
tokudb,TokuDB,TokuDB is a replacement storage engine for MySQL that used fractal trees.,,,,http://www.tokutek.com/products/tokudb-for-mysql/,https://github.com/percona/tokudb-engine,,Percona,US,2009.0,,"Commercial,Open Source",,,,,,,,,,,,,,,,,,,,,,,,,,,
tokumx,TokuMX,,,,,http://www.tokutek.com/products/tokumx-for-mongodb/,https://github.com/Tokutek/mongo,,Tokutek,US,,,"Commercial,Open Source",,,,,,,,,,,,,,,,,,,,,,,,,,,
